rank,name,population,percentage,date,source
-," 7,886,742,000", 100%,6 Aug 2021
-,Americas,"56,541",0.000717%
186,Oceania,"54,516",0.000691%
187,Americas,"54,000",0.000685%
-,Asia,"53,532",0.000679%
-,Europe,"53,305",0.000676%
-,Americas,"42,953",0.000545%
-,Americas,"41,486",0.000526%
188,Europe,"39,062",0.000495%
189,Europe,"38,350",0.000486%
-,Americas,"34,065",0.000432%
-,Europe,"34,000",0.000431%
190,Europe,"33,599",0.000426%
-,Europe,"30,286",0.000384%
-,Americas,"30,000",0.000380%
191,Oceania,"17,957",0.000228%
-,Oceania,"15,342",0.000195%
-,Americas,"15,000",0.000190%
192,Oceania,"11,832",0.000150%
-,Oceania,"11,369",0.000144%
193,Oceania,"10,679",0.000135%
-,Americas,"10,124",0.000128%
-,Africa,"6,000",0%
-,Americas,"5,985",0%
-,Americas,"5,000",0%
-,Americas,"4,000",0%
-,Oceania,"1,966",0%
-,Oceania,"1,734",00%
-,Oceania,"1,549",0%
-,Oceania,"1,501",00%
194,Europe,825,0%
-,Oceania,573,0%
